name,hex
Black,#05131D
Light Bluish Gray,#A0A5A9
White,#FFFFFF
Dark Bluish Gray,#6C6E68
Red,#C91A09
Tan,#E4CD9E
Blue,#0055BF
Dark Tan,#958A73
Yellow,#F2CD37
Reddish Brown,#582A12
Bright Light Orange,#F8BB3D
Dark Red,#720E0F
Green,#237841
Orange,#FE8A18
Dark Blue,#0A3463
Olive Green,#9B9A5A
Dark Purple,#3F3691
Lime,#BBE90B
Dark Azure,#078BC9
Dark Brown,#352100
Dark Turquoise,#008F9B
Medium Lavender,#AC78BA
Bright Pink,#E4ADC8
Sand Green,#A0BCAC
Medium Dark Flesh,#CC702A
Dark Green,#184632
Dark Orange,#A95500
Light Aqua,#ADC3C0
Dark Pink,#C870A0
Medium Azure,#36AEBF
Bright Green,#4B9F4A
Pastel Blue,#5AC4DA
Bright Light Yellow,#FFF03A
Magenta,#923978
Bright Light Blue,#9FC3E9
Medium Blue,#5A93DB
Lavender,#E1D5ED
